Player,TEAM,PLAYOFF,PPG,TS%,USG%,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,SALARY
A.J. Green,MIL,1,9.2,0.621,12.6,1.6,1.3,2.8,0.082,-1.7,-0.4,-2.2,-0.1,2120693
A.J. Lawson,TOR,0,12.7,0.542,20,0.4,0.4,0.8,0.081,-1.5,-1,-2.5,-0.1,100000
Aaron Holiday,HOU,1,12.2,0.594,16.8,1.2,0.8,2,0.122,-0.4,0.1,-0.2,0.3,4668000
Aaron Nesmith,IND,1,14.6,0.653,17.4,1.9,1,2.9,0.126,0,-0.5,-0.5,0.4,11000000
Aaron Wiggins,OKC,1,16.1,0.596,20.3,2.7,2.7,5.4,0.148,1.3,-0.2,1.1,1.4,10514017
Adem Bona,PHI,0,16.5,0.714,14.3,1.4,0.9,2.3,0.121,-2.9,0.2,-2.7,-0.2,1157153
Ajay Mitchell,OKC,1,12,0.587,16.2,0.6,0.9,1.5,0.122,-2.5,0.9,-1.6,0.1,3000000
Al Horford,BOS,1,12.9,0.563,13.8,2,2.4,4.4,0.129,0.1,1.1,1.2,1.3,9500000
Alec Burks,MIA,1,12.8,0.608,16.5,0.9,0.9,1.8,0.1,0,0.3,0.3,0.5,2087519
Alex Caruso,OKC,1,15.9,0.568,15.2,1.6,2.3,3.9,0.18,0.1,3.9,4,1.6,9890000
Alex Len,WAS,0,10.6,0.525,10.3,0.2,0.4,0.7,0.083,-3.9,1.2,-2.6,-0.1,2831348
Alperen Sengun,HOU,1,21.4,0.545,26.2,4.1,4.2,8.3,0.166,2.6,1.8,4.4,3.9,5424654
Amen Thompson,HOU,1,18.7,0.602,17.5,4.1,3.9,8,0.172,1.4,2.6,4.1,3.4,9249960
Amir Coffey,LAC,1,11.2,0.614,15.3,2.4,1.7,4,0.111,-1.5,-0.2,-1.7,0.1,3938271
Andre Drummond,PHI,0,16,0.535,19.1,0.2,1,1.2,0.078,-2.4,-0.8,-3.2,-0.2,5000000
Andrew Nembhard,IND,1,11.7,0.545,16.3,1.1,1.7,2.8,0.071,-2.6,0.3,-2.3,-0.1,2019699
Anthony Black,ORL,1,11.6,0.521,19.6,-0.6,3,2.4,0.061,-3.1,1.2,-1.9,0,7607760
Antonio Reeves,NOP,0,11.7,0.579,18.8,0.4,0,0.4,0.029,-1.2,-2,-3.2,-0.2,1157153
Ausar Thompson,DET,1,17.2,0.568,19.1,1.5,2.4,3.8,0.138,-0.8,2.5,1.7,1.2,8376000
Ayo Dosunmu,CHI,0,12.8,0.585,16.6,1.6,1,2.5,0.087,-1.4,-0.2,-1.6,0.1,7000000
Baylor Scheierman,BOS,1,10.3,0.49,14.5,0.2,0.5,0.7,0.089,-2.5,0.8,-1.7,0,2494320
Ben Sheppard,IND,1,9.2,0.555,11.3,1,1,2.1,0.081,-2.2,0.2,-2,0,2663880
Bismack Biyombo,SAS,0,12.2,0.576,12.3,0.2,0.6,0.8,0.071,-3.6,0,-3.6,-0.2,647851
Bol Bol,PHO,0,18.4,0.627,21.1,0.6,0.3,0.9,0.097,1.7,-0.9,0.8,0.3,2087519
Bones Hyland,ATL,0,16,0.576,28.2,0.1,0.4,0.5,0.095,0.9,1.8,2.7,0.3,4158439
Branden Carlson,OKC,1,17.6,0.581,19.3,0.4,0.5,0.9,0.177,0.5,0.8,1.3,0.2,496519
Brandin Podziemski,GSW,1,14.4,0.557,18.3,1.9,2.3,4.2,0.117,-0.1,0.8,0.7,1.2,3519960
Brandon Boston Jr.,NOP,0,12.7,0.535,20,0.2,0.5,0.7,0.033,-2.3,-0.2,-2.5,-0.1,596581
Brandon Miller,CHO,0,14,0.54,27.7,-0.2,0.7,0.4,0.023,0.8,-0.8,0,0.4,11424600
Brandon Williams,DAL,0,18.3,0.634,22.6,0.9,0.4,1.3,0.129,1,-0.1,1,0.4,47989
Brice Sensabaugh,UTA,0,13.4,0.612,21.5,0.9,0.3,1.2,0.042,0.4,-1.6,-1.2,0.3,2571480
Buddy Hield,GSW,1,12.3,0.56,20.5,0.6,2.2,2.8,0.073,-0.7,-0.3,-1,0.5,8780488
Caleb Houstan,ORL,1,9.4,0.605,11.7,0.9,0.9,1.8,0.109,-2.4,0.2,-2.2,0,2019699
Cam Reddish,LAL,1,7.4,0.498,8.8,0,0.6,0.7,0.054,-4.4,1.6,-2.7,-0.1,2463946
Cam Thomas,BRK,0,18,0.575,32.6,0.8,0.4,1.2,0.071,2.8,-2.6,0.3,0.5,4041249
Cam Whitmore,HOU,1,15.5,0.549,23.9,0.6,1.2,1.8,0.106,0.7,-0.4,0.3,0.5,3379080
Cameron Payne,NYK,1,13.8,0.532,20.8,1.3,1,2.3,0.099,-0.1,-0.2,-0.2,0.5,2087519
Cason Wallace,OKC,1,12.3,0.562,12.8,1.8,3.4,5.2,0.133,-1.5,2.6,1,1.5,5555880
Charles Bassey,SAS,0,19,0.597,17.5,0.5,0.6,1.1,0.136,-1.7,0.6,-1.1,0.1,2087519
Chet Holmgren,OKC,1,19.2,0.599,22,1.1,2,3.2,0.173,0.5,1.9,2.4,1,10880640
Chris Boucher,TOR,0,18.7,0.615,21.2,1.7,1,2.7,0.148,2.9,-0.6,2.3,0.9,10810000
Chris Paul,SAS,0,14.7,0.58,14,4.2,1.6,5.7,0.12,0.3,0.5,0.8,1.6,10460000
Christian Braun,DEN,1,16,0.665,15.8,6.2,1.9,8,0.144,0.8,-0.5,0.3,1.6,3089640
Chuma Okeke,PHI,0,15.3,0.641,9.8,0.5,0.1,0.6,0.145,1.6,-1.8,-0.2,0.1,355687
Cody Martin,PHO,0,11.3,0.509,14.7,0.1,1.2,1.3,0.054,-2.8,1.1,-1.7,0.1,8120000
Colby Jones,WAS,0,11.4,0.544,13.7,0.1,0.4,0.6,0.053,-3.3,0.4,-2.8,-0.1,2120693
Cory Joseph,ORL,1,10.9,0.547,12.8,0.6,0.9,1.5,0.114,-2.3,1.4,-0.8,0.2,3303771
Craig Porter Jr.,CLE,1,13.1,0.61,15.9,0.5,0.6,1.1,0.102,0.1,1,1.1,0.4,1891857
Dalano Banton,POR,0,12.9,0.497,24.1,-0.3,1.1,0.8,0.033,-0.6,-0.2,-0.8,0.3,2196970
Dalton Knecht,LAL,1,12.7,0.594,18.5,1.7,1,2.7,0.086,-0.1,-1.7,-1.8,0.1,3819120
Daniel Theis,OKC,1,12.1,0.558,11.6,0.6,0.4,1,0.077,-3.3,0,-3.3,-0.2,2087519
Dante Exum,DAL,0,13.6,0.589,19.6,0.4,0.2,0.6,0.083,-1.2,-1.1,-2.3,0,3150000
